timestamp_ms,mac,rssi,location
etimestamp,mac,rssi,bijuOffice
393057,00:A3:8E:67:4C:81,-69,bijuOffice
393057,00:A3:8E:60:EB:E1,-73,bijuOffice
393057,00:27:E3:29:CD:E0,-75,bijuOffice
393057,00:A3:8E:60:F3:80,-83,bijuOffice
393057,70:EA:1A:22:A9:41,-88,bijuOffice
397860,00:A3:8E:67:4C:81,-67,bijuOffice
397860,00:A3:8E:60:EB:E1,-72,bijuOffice
397860,00:27:E3:29:CD:E0,-77,bijuOffice
397860,00:A3:8E:60:F3:80,-84,bijuOffice
397860,08:4F:A9:2D:77:41,-87,bijuOffice
402663,00:A3:8E:67:4C:81,-70,bijuOffice
402663,00:A3:8E:60:EB:E1,-73,bijuOffice
402663,00:27:E3:29:CD:E0,-80,bijuOffice
402663,00:A3:8E:60:F3:80,-82,bijuOffice
402663,08:4F:A9:2D:77:41,-87,bijuOffice
407466,00:A3:8E:67:4C:81,-57,bijuOffice
407466,00:A3:8E:60:EB:E1,-71,bijuOffice
407466,00:27:E3:29:CD:E0,-79,bijuOffice
407466,00:A3:8E:60:F3:80,-83,bijuOffice
412269,00:A3:8E:67:4C:81,-57,bijuOffice
412269,00:27:E3:29:CD:E0,-77,bijuOffice
412269,00:A3:8E:60:EB:E1,-77,bijuOffice
412269,00:A3:8E:60:F3:80,-83,bijuOffice
412269,00:27:E3:29:E8:80,-86,bijuOffice
417072,00:A3:8E:67:4C:81,-73,bijuOffice
417072,00:27:E3:29:CD:E0,-77,bijuOffice
417072,00:A3:8E:60:EB:E1,-78,bijuOffice
417072,00:27:E3:29:E8:80,-84,bijuOffice
417072,00:A3:8E:65:44:00,-86,bijuOffice
417072,00:A3:8E:60:F3:80,-89,bijuOffice
421885,00:A3:8E:67:4C:81,-73,bijuOffice
421885,00:27:E3:29:CD:E0,-77,bijuOffice
421885,00:A3:8E:60:EB:E1,-79,bijuOffice
421885,00:27:E3:29:E8:80,-84,bijuOffice
421885,00:A3:8E:60:F3:80,-87,bijuOffice
426688,00:A3:8E:67:4C:81,-73,bijuOffice
426688,00:A3:8E:60:EB:E1,-77,bijuOffice
426688,00:27:E3:29:CD:E0,-79,bijuOffice
426688,00:27:E3:29:E8:80,-82,bijuOffice
426688,00:A3:8E:60:F3:80,-88,bijuOffice
426688,00:A3:8E:65:44:00,-88,bijuOffice
4195,08:4F:A9:30:00:01,-43,csHod
4195,00:A3:8E:4E:29:A1,-50,csHod
4195,08:4F:A9:39:6A:41,-50,csHod
4195,4C:77:6D:10:31:E1,-61,csHod
4195,08:4F:A9:39:68:21,-62,csHod
4195,70:EA:1A:22:9F:21,-67,csHod
4195,08:4F:A9:2D:8A:41,-68,csHod
4195,08:4F:A9:2D:8A:A1,-71,csHod
4195,70:EA:1A:22:A9:41,-71,csHod
4195,70:EA:1A:22:9F:E1,-81,csHod
9209,08:4F:A9:30:00:01,-41,csHod
9209,00:A3:8E:4E:29:A1,-51,csHod
9209,4C:77:6D:10:31:E1,-52,csHod
9209,08:4F:A9:39:6A:41,-57,csHod
9209,70:EA:1A:22:9F:21,-62,csHod
9209,08:4F:A9:2D:8A:41,-67,csHod
9209,08:4F:A9:39:68:21,-67,csHod
9209,08:4F:A9:2D:8A:A1,-70,csHod
9209,70:EA:1A:22:A9:41,-71,csHod
9209,70:EA:1A:22:9F:E1,-81,csHod
9209,00:A3:8E:67:4C:81,-86,csHod
14033,08:4F:A9:30:00:01,-43,csHod
14033,4C:77:6D:10:31:E1,-51,csHod
14033,00:A3:8E:4E:29:A1,-57,csHod
14033,08:4F:A9:39:6A:41,-57,csHod
14033,70:EA:1A:22:9F:21,-62,csHod
14033,08:4F:A9:39:68:21,-68,csHod
14033,08:4F:A9:2D:8A:A1,-72,csHod
14033,08:4F:A9:2D:8A:41,-73,csHod
14033,70:EA:1A:22:A9:41,-74,csHod
14033,70:EA:1A:22:9F:E1,-85,csHod
14033,00:A3:8E:67:4C:81,-87,csHod
14033,08:4F:A9:10:4B:81,-88,csHod
18856,08:4F:A9:30:00:01,-44,csHod
18856,00:A3:8E:4E:29:A1,-51,csHod
